Year,Country Name,GDP (current US$) , GDP per capita (current US$) ,GDP growth (annual %),Imports of goods and services (% of GDP),Exports of goods and services (% of GDP)," Total reserves (includes gold, current US$) ","Inflation, consumer prices (annual %)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)"
1980,India,186325345086.66,267,6.74,9.25,6.14,12009788667.44,11.35,696828385,2.29,53.47
1981,India,193490610029.79,270,6.01,8.57,5.94,8108837891.3,13.11,712869298,2.3,53.95
1982,India,200715145363.15,274,3.48,8.14,5.98,8241561692.95,7.89,729169466,2.29,54.43
1983,India,218262273406.97,291,7.29,7.85,5.84,8215732398.97,11.87,745826546,2.28,54.91
1984,India,212158234167.31,277,3.82,7.73,6.28,8535944481.2,8.32,762895156,2.29,55.27
1985,India,232511877841.7,296,5.25,7.65,5.25,9493102974.02,5.56,780242084,2.27,55.62
1986,India,248985994040.59,310,4.78,7.02,5.2,10480102587.56,8.73,797878993,2.26,55.98
1987,India,279033584092.22,340,3.97,6.98,5.6,11511740598.81,8.8,815716125,2.24,56.33
1988,India,296588994812.35,354,9.63,7.46,6.04,9185839446.54,9.38,833729681,2.21,56.69
1989,India,296042354984.88,346,5.95,8.15,7.02,8048455918.16,7.07,852012673,2.19,57.18
1990,India,320979026420.04,368,5.53,8.45,7.05,5637446363.83,8.97,870452165,2.16,57.66
1991,India,270105341879.23,303,1.06,8.49,8.49,7615987475.11,13.87,888941756,2.12,58.15
1992,India,288208430383.96,317,5.48,9.59,8.84,9538786025.17,11.79,907574049,2.1,58.63
1993,India,279296022987.92,301,4.75,9.82,9.83,14674627089.94,6.33,926351297,2.07,59.12
1994,India,327275583539.56,346,6.66,10.19,9.89,24220928468.82,10.25,945261958,2.04,59.59
1995,India,360281952716.8,374,7.57,12.02,10.84,22864636916.1,10.22,964279129,2.01,60.06
1996,India,392897054348.07,400,7.55,11.54,10.39,24889364657.41,8.98,983281218,1.97,60.53
1997,India,415867753863.87,415,4.05,11.93,10.69,28385372945.86,7.16,1002335230,1.94,61
1998,India,421351477504.74,413,6.18,12.68,11.02,30646563663.48,13.23,1021434576,1.91,61.47
1999,India,458820417337.81,442,8.85,13.36,11.45,36005295926.44,4.67,1040500054,1.87,61.88
2000,India,468394937262.37,443,3.84,13.9,13,41059061574.66,4.01,1059633675,1.84,62.28
2001,India,485441014538.64,452,4.82,13.43,12.56,49050841138.72,3.78,1078970907,1.82,62.69
2002,India,514937948870.08,471,3.8,15.24,14.26,71607865093.7,4.3,1098313039,1.79,63.09
2003,India,607699285433.87,547,7.86,15.64,14.95,103737208055.97,3.81,1117415123,1.74,63.5
2004,India,709148514804.66,628,7.92,19.64,17.86,131631143125.85,3.77,1136264583,1.69,63.91
2005,India,820381595512.9,715,7.92,22.4,19.61,137824828256.29,4.25,1154638713,1.62,64.31
2006,India,940259888792.14,807,8.06,24.46,21.27,178049790065.97,5.8,1172373788,1.54,64.72
2007,India,1216735441524.86,1028,7.66,24.89,20.8,276578100117.41,6.37,1189691809,1.48,65.12
2008,India,1198895582137.51,999,3.09,29.27,24.1,257422725614.88,8.35,1206734806,1.43,65.53
2009,India,1341886602798.69,1102,7.86,25.87,20.4,284682887897.59,10.88,1223640160,1.4,65.98
2010,India,1675615335600.56,1358,8.5,26.85,22.4,300480168786.35,11.99,1240613620,1.39,66.43
2011,India,1823049927771.46,1458,5.24,31.08,24.54,298739463090.87,8.91,1257621191,1.37,66.87
2012,India,1827637859135.7,1444,5.46,31.26,24.53,300425517446.55,9.48,1274487215,1.34,67.32
2013,India,1856722121394.53,1450,6.39,28.41,25.43,298092478740.58,10.02,1291132063,1.31,67.77
2014,India,2039127446298.55,1574,7.41,25.95,22.97,325081035127.89,6.67,1307246509,1.25,68.07
2015,India,2103587813812.75,1606,8,22.11,19.81,353319061013.22,4.91,1322866505,1.19,68.37
2016,India,2294797980509.01,1733,8.26,20.92,19.16,361694321972.04,4.95,1338636340,1.19,68.67
2017,India,2651472946374.91,1981,6.8,21.95,18.79,412613792019.92,3.33,1354195680,1.16,68.97
2018,India,2702929718960.46,1997,6.53,23.69,19.93,399167159226.68,3.94,1369003306,1.09,69.27
2019,India,2831552222519.99,2101,4.04,21.27,18.69,463469902152.51,3.73,1383112050,1.03,69.5
2020,India,2667687951796.56,1928,-7.25,19.1,18.71,590227359928.9,6.62,1396387127,0.96,69.73
